상호명,주소,위도,경도
미니스톱연수파크타운,인천광역시 연수구 용담로 115,37.41502,126.677781
푸른두레생협 본점,인천광역시 연수구 샘말로 8번길 19,37.411477,126.678749
세븐일레븐연수프라자,인천광역시 연수구 먼우금로 190,37.414007,126.676724
주식회사 세계로유통,인천광역시 연수구 용담로 153,37.413744,126.6828
착한마트,인천광역시 연수구 새말로134,37.416576,126.683225
세븐일레븐연수푸르지,"인천광역시 연수구 벚꽃로 130-3,101호(연수푸르지오1단지)",37.416266,126.679919
씨유 연수스마일,"인천광역시 연수구 샘말로88번길 19, 101호, 102호(연수동)",37.414277,126.681743
웅이유통,"인천광역시 연수구 용담로117번길 27, 101호(연수동)",37.415995,126.678193
씨유 연수엘리점,인천광역시 연수구 벚꽃로142번길 19,37.415208,126.680342
럭키할인마트,"인천광역시 연수구 원인재로 232, 402동 9,10호(연수동,연수시영)",37.414683,126.687855
GS25연수타운점,"인천광역시 연수구 샘말로21번길 3, 1층(연수동)",37.412508,126.678211
김포슈퍼,인천광역시 연수구 원인재로 315,37.420713,126.694656
대산슈퍼,인천광역시 연수구 원인재로 315,37.420659,126.691946
경남슈퍼,인천광역시 연수구 원인재로 324,37.422573,126.694589
지에이치마트,인천광역시 연수구 새말로107번길 16,37.418678,126.68333
풍림슈퍼,인천광역시 연수구 함박뫼로 250,37.417625,126.69187
씨유 연수사랑가득점,인천광역시 연수구 새말로 152,37.41625,126.685312
이마트24연수주공점,"인천광역시 연수구 함박뫼로 221, 상가동 101, 102호(주공2차apt)",37.419963,126.690721
씨유 연수대림점,"인천광역시 연수구 원인재로 286, 상가동 1층(대림아파트)",37.419548,126.693835
푸르지오슈퍼,인천광역시 연수구 원인재로 237,37.414683,126.687855
해피플러스25할인마트,인천광역시 연수구 원인재로 313,37.419548,126.693835
에이스마트 청학점,"인천광역시 연수구 솔샘로43번길 15, 109동 지하층 1,2,3호",37.423158,126.666893
씨유청학플러스점,인천광역시 연수구 청학로6번길 33,37.42734,126.665449
은성마트,"인천광역시 연수구 계림로112번길12, 상가1호(청학동,송천주택)",37.42709,126.669166
알뜰슈퍼,인천광역시 연수구 청학로 27번길 4,37.429678,126.663224
CU청학타운점,인천광역시 연수구 청명로34,37.418172,126.676399
청학그린마트,인천광역시 연수구 함박뫼로 12번길 37,37.418054,126.673504
세븐일레븐 청학용담,인천광역시 연수구 함박뫼로 26번길 6,37.419433,126.672024
용담슈퍼,인천광역시 연수구 용담로 25,37.421214,126.671226
세븐일레븐청학주민센,"인천광역시 연수구 비류대로294번길 16, 101호",37.425423,126.666178
서해건재,인천광역시 연수구 용담로 50번길 1,37.419064,126.673078
