상호명,주소,위도,경도,
지에스25용현사거리점,"미추홀구 인주대로 129, 1층(용현동)",37.4566136,126.6515259,
씨유 용현효성해링턴점,인천광역시 미추홀구 인주대로 148(용현동) 제지1층,37.455966,126.6534051,
빌라마트,미추홀구 용현3동  141-62,37.455221,126.655904,
소비자공판장,미추홀구 용현3동141-76,37.4546426,126.6573905,
지에스25 인천스카이점,인천광역시 미추홀구 독배로382번길 19 (용현동) 1층,37.4536511,126.6497989,
지에스25 인하문화,인천광역시 미추홀구 인하로67번길 9(용현동),37.4519475,126.6560237,
gs25 인하해성,미추홀구 용현4동187-12 (경인남길30번길 80) 1,37.4512155,126.6588097,
롯데쇼핑(주)인하대점,미추홀구 인하로 107(용현동),37.4504719,126.6601502,
희망사,인천광역시 미추홀구 인하로 128-3 (용현동),37.449502,126.6623165,
오렌지할인마트,미추홀구 낙섬중로 75-1(용현동),37.4545918,126.639521,
지에스25 용현에이스점,인천광역시 미추홀구 토금남로 5 (용현동),37.4530439,126.6334477,
마이마트,미추홀구 용현5동,37.452575,126.64018,
장터마트,"미추홀구 낙섬중로38번길 8, 1층(용현동)",37.4513022,126.637904,
주식회사토지시장마트,"미추홀구 토금남로 53, 상가동 비01호(용현동,한양@)",37.4508232,126.6381063,
이마트24 용현낙섬,미추홀구 낙섬서로18번길 27-4(용현동),37.4505491,126.6358181,
세븐일레븐 용현대림점,미추홀구 용현동 627-282,37.4496792,126.6355521,
농축산할인마트,"미추홀구 용정공원로 33, 근린생활시설비동 109호",37.4494287,126.6456903,
이마트24 용현SK점,"인천광역시 미추홀구 용정공원로 33 (용현동, 인천 SK",37.4494287,126.6456903,
지에스25 인천용학점,"인천광역시 미추홀구 용정공원로 33(용현동, 인천 SK",37.4494287,126.6456903,
세븐일레븐 인천주안로점,"인천광역시 미추홀구 주안로 53(주안동, 스위트리아)",37.46453,126.6755779,
세븐일레븐주안대로점,"미추홀구 주안로 102-1(주안동, 1층(코너점포))",37.4637949,126.6810845,
행복한식자재마트,"미추홀구 석바위로53번길 8, 1층(주안동)",37.4612752,126.6790019,
세븐일레븐인천주안신,"미추홀구 석바위로 79, 102동 101,102호(주안동)",37.4612533,126.682055,
세븐일레븐 주안석바위로점,"미추홀구 석바위로 99, 1층(주안동)",37.4608762,126.6842051,
씨유 주안힐탑점,"미추홀구 주안서로 18, 1층 111호",37.4603877,126.6780603,
지에스25 주안석바위점,인천광역시 미추홀구 석바위로 112(주안동) 2층,37.4600041,126.6852983,
GS25 주안 더리브점,"경인로325번길 18, 1층(우진빌딩)",37.4596621,126.6767303,
주안식품,미추홀구 미추홀구 경인로329-1(주안동 199-17),37.459092,126.676669,
이마트24 수봉스카이점,"인천광역시 미추홀구 경인북길 383(주안동, 평안아트",37.4577089,126.6682352,
임마누엘할인마트,미추홀구 주안2동 508-23,37.4574964,126.6759837,
지에스25 주안센트라스점,인천광역시 미추홀구 한나루로573번길 9 (주안동) 1층,37.4574842,126.6707611,
세븐일레븐 미추홀수봉점,경인북길357번길1(주안동),37.4568652,126.6671177,
동양마트,미추홀구 주안2동 475-11,37.4562092,126.6792566,
낙원할인마트,미추홀구 주안2동 605-17,37.4553316,126.6706379,
주안홈마트,미추홀대로 645번길 33,37.4549247,126.6778492,
한마트,"미추홀구 인주대로251번길 55, 1층(주안동)",37.454819,126.6668333,
365세일마트,주안2동557-10 (미추홀구 제일로40번길 93-35),37.4545911,126.6754916,
지에스25주안프라임,인천광역시 미추홀구 남주길147번길 3 (주안동) 1층 1,37.453912,126.6774958,
이마트24(주안용남점),미추홀구 인주대로265번길 22 (주안동),37.4537903,126.666482,
이마트24 주안한나루점,인천광역시 미추홀구 한나루로526번길 10 (주안동) 1,37.4533567,126.6690844,
씨유 주안힐스,인천광역시 미추홀구 남주길 150 (주안동) 근린생활시,37.4524809,126.6752836,
씨유 주안푸르지오,"인천광역시 미추홀구 남주길 150 (주안동, 힐스테이트",37.4524809,126.6752836,
지에스더프레시 인천주안점,"인천광역시 미추홀구 남주길 150 (주안동, 힐스테이트",37.4524809,126.6752836,
월드할인마트,미추홀구 주안2동1417-50,37.4524805,126.67211,
씨유주안힐스테이트정문점,미추홀구 인주대로317번길 30(주안동),37.4521309,126.6717945,
이마트24 주안인주점,인천광역시 미추홀구 인주대로 332(주안동) 101호,37.4514145,126.6733718,
월드마트,미추홀구 주안3동723-15,37.4512846,126.6704176,
